==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:43:10
總訓練時間       : 65291.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
369/5000  0.0212     99.34        70.58        5422.26s
370/5000  0.0186     99.45        70.91        5435.40s
371/5000  0.0168     99.46        71.56        5448.38s
372/5000  0.0182     99.40        70.62        5461.27s
373/5000  0.0187     99.42        71.17        5474.07s
374/5000  0.0183     99.43        70.91        5486.94s
375/5000  0.0169     99.46        69.90        5499.82s
376/5000  0.0173     99.48        70.45        5512.64s
377/5000  0.0197     99.39        70.82        5525.42s
378/5000  0.0178     99.46        70.79        5538.26s
379/5000  0.0185     99.43        69.81        5551.05s
380/5000  0.0152     99.49        70.58        5563.93s
381/5000  0.0139     99.56        71.03        5576.84s
382/5000  0.0164     99.51        70.92        5589.63s
383/5000  0.0193     99.42        70.55        5602.50s
384/5000  0.0198     99.41        70.67        5615.36s
385/5000  0.0177     99.45        71.00        5628.20s
386/5000  0.0176     99.47        70.75        5641.17s
387/5000  0.0170     99.47        71.22        5654.08s
388/5000  0.0177     99.45        70.83        5667.05s
389/5000  0.0175     99.43        71.51        5679.83s
390/5000  0.0161     99.48        71.35        5692.80s
391/5000  0.0183     99.43        70.75        5705.69s
392/5000  0.0157     99.49        71.41        5718.55s
393/5000  0.0165     99.49        70.45        5731.52s
394/5000  0.0183     99.39        71.23        5744.41s
395/5000  0.0161     99.51        71.13        5757.14s
396/5000  0.0196     99.39        71.33        5770.00s
397/5000  0.0194     99.42        70.77        5782.91s
398/5000  0.0164     99.49        70.82        5795.84s
399/5000  0.0132     99.57        71.72        5808.63s
400/5000  0.0185     99.42        70.87        5821.52s
401/5000  0.0154     99.50        71.30        5834.51s
402/5000  0.0147     99.52        71.62        5847.30s
403/5000  0.0200     99.39        71.46        5860.21s
404/5000  0.0143     99.54        70.98        5873.09s
405/5000  0.0181     99.44        71.40        5886.02s
406/5000  0.0161     99.47        70.67        5898.96s
407/5000  0.0157     99.46        71.57        5911.84s
408/5000  0.0186     99.44        71.19        5924.65s
409/5000  0.0169     99.49        71.51        5937.37s
410/5000  0.0147     99.50        71.51        5950.20s
411/5000  0.0156     99.53        71.00        5963.05s
412/5000  0.0136     99.54        71.89        5976.05s
413/5000  0.0177     99.48        71.77        5988.88s
414/5000  0.0172     99.45        71.27        6001.70s
415/5000  0.0141     99.51        71.51        6014.57s
416/5000  0.0151     99.51        70.67        6027.39s
417/5000  0.0162     99.44        71.25        6040.26s
418/5000  0.0187     99.44        70.70        6053.13s
419/5000  0.0167     99.48        71.40        6065.99s
420/5000  0.0166     99.43        71.65        6078.82s
421/5000  0.0177     99.44        70.54        6091.70s
422/5000  0.0163     99.47        71.46        6104.43s
423/5000  0.0137     99.58        71.30        6117.23s
424/5000  0.0165     99.49        70.32        6130.05s
425/5000  0.0157     99.51        71.22        6142.99s
426/5000  0.0143     99.54        71.22        6155.85s
427/5000  0.0127     99.60        71.38        6168.72s
428/5000  0.0167     99.49        71.34        6181.56s
429/5000  0.0151     99.51        71.27        6194.48s
430/5000  0.0163     99.49        70.77        6207.32s
431/5000  0.0203     99.38        71.55        6220.14s
432/5000  0.0145     99.55        71.12        6233.03s
433/5000  0.0137     99.56        71.75        6246.05s
434/5000  0.0132     99.60        71.36        6258.97s
435/5000  0.0159     99.49        71.03        6271.88s
436/5000  0.0148     99.53        70.64        6284.81s
437/5000  0.0186     99.47        71.67        6297.72s
438/5000  0.0161     99.52        70.78        6310.74s
439/5000  0.0160     99.48        71.34        6323.60s
440/5000  0.0150     99.49        71.11        6336.50s
441/5000  0.0151     99.55        70.85        6349.34s
442/5000  0.0156     99.50        71.51        6362.25s
443/5000  0.0166     99.46        70.72        6375.05s
444/5000  0.0133     99.56        71.52        6387.85s
445/5000  0.0166     99.47        71.34        6400.70s
446/5000  0.0171     99.47        71.15        6413.53s
447/5000  0.0158     99.51        71.38        6426.51s
448/5000  0.0161     99.49        71.53        6439.52s
449/5000  0.0145     99.56        71.27        6452.46s
450/5000  0.0148     99.54        71.06        6465.46s
451/5000  0.0179     99.43        70.79        6478.49s
452/5000  0.0138     99.54        71.99        6491.42s
453/5000  0.0131     99.56        71.16        6504.29s
454/5000  0.0146     99.56        71.57        6517.18s
455/5000  0.0153     99.50        71.73        6530.10s
456/5000  0.0148     99.52        71.23        6543.04s
457/5000  0.0168     99.42        71.88        6556.00s
458/5000  0.0147     99.50        71.35        6568.90s
459/5000  0.0122     99.60        71.42        6581.73s
460/5000  0.0131     99.60        70.74        6594.58s
461/5000  0.0162     99.53        71.55        6607.59s
